Date,FullName,From,To,Subject
2014-01-06 10:50:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 11:00:00,Linnea Bergen,Linnea.Bergen@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",Upcoming birthdays
2014-01-06 11:04:00,Loreto Bodrogi,Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Plants
2014-01-06 11:16:00,Linnea Bergen,Linnea.Bergen@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",Upcoming birthdays
2014-01-06 11:23:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 11:34:00,Isak Baza,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 11:40:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 11:53:00,Sten Sanjorge Jr.,Sten.Sanjorge Jr.@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",IPO
2014-01-06 12:05:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 12:05:00,Mat Bramar,Mat.Bramar@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Craft night
2014-01-06 12:15:00,Ingrid Barranco,Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Plants
2014-01-06 12:15:00,Axel Calzas,Axel.Calzas@gastech.com.kronos,"Felix.Balas@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Vira.Frente@gastech.com.kronos",Wellhead flow rate data
2014-01-06 12:21:00,Lars Azada,Lars.Azada@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",Wellhead flow rate data
2014-01-06 12:28:00,Stenig Fusil,Stenig.Fusil@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,Service anniversary
2014-01-06 12:28:00,Orhan Strum,Orhan.Strum@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Service anniversary
2014-01-06 12:30:00,Albina Hafon,Albina.Hafon@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",New refueling policies - Effective February 1
2014-01-06 12:34:00,Nils Calixto,Nils.Calixto@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 12:36:00,Felix Balas,Felix.Balas@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",Wellhead flow rate data
2014-01-06 12:37:00,Felix Balas,Felix.Balas@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",Wellhead flow rate data
2014-01-06 12:39:00,Lars Azada,Lars.Azada@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",Wellhead flow rate data
2014-01-06 12:44:00,Loreto Bodrogi,Loreto.Bodrogi@gastech.com.kronos,"Varja.Lagos@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Inga.Ferro@gastech.com.kronos",Patrol schedule changes
2014-01-06 12:48:00,Loreto Bodrogi,Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Plants
2014-01-06 12:56:00,Willem Vasco-Pais,Willem.Vasco-Pais@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",IPO
2014-01-06 13:01:00,Anda Ribera,Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Favor - borrow hedge trimmer
2014-01-06 13:05:00,Orhan Strum,Orhan.Strum@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",IPO
2014-01-06 13:07:00,Benito Hawelon,Benito.Hawelon@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos",New refueling policies - Effective February 1
2014-01-06 13:08:00,Felix Resumir,Felix.Resumir@gastech.com.kronos,"Felix.Resumir@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos",Inspection request for site
2014-01-06 13:14:00,Bertrand Ovan,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",Facilities preparations for VIP visit
2014-01-06 13:16:00,Felix Balas,Felix.Balas@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",Wellhead flow rate data
2014-01-06 13:21:00,Ingrid Barranco,Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Plants
2014-01-06 13:23:00,Birgitta Frente,Birgitta.Frente@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",Wellhead flow rate data
2014-01-06 13:24:00,Carla Forluniau,Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Question - Protocol for VIP visit
2014-01-06 13:26:00,Loreto Bodrogi,Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Plants
2014-01-06 13:29:00,Anda Ribera,Anda.Ribera@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Craft night
2014-01-06 13:35:00,Claudio Hawelon,Claudio.Hawelon@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",Route suggestion for next shift
2014-01-06 13:42:00,Hennie Osvaldo,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Concert tickets
2014-01-06 13:48:00,Cornelia Lais,Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Craft night
2014-01-06 13:49:00,Valeria Morlun,Valeria.Morlun@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,Favor - borrow hedge trimmer
2014-01-06 13:54:00,Cecilia Morluniau,Cecilia.Morluniau@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Supplies
2014-01-06 13:59:00,Anda Ribera,Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Favor - borrow hedge trimmer
2014-01-06 13:59:00,Adan Morlun,Adan.Morlun@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Varro.Awelon@gastech.com.kronos",New refueling policies - Effective February 1
2014-01-06 14:01:00,Varro Awelon,Varro.Awelon@gastech.com.kronos,"Benito.Hawelon@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos",Don't text and drive!
2014-01-06 14:05:00,Dante Coginian,Dante.Coginian@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Congratulations on your service anniversary
2014-01-06 14:16:00,Nils Calixto,Nils.Calixto@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 14:19:00,Benito Hawelon,Benito.Hawelon@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Varro.Awelon@gastech.com.kronos",New refueling policies - Effective February 1
2014-01-06 14:19:00,Willem Vasco-Pais,Willem.Vasco-Pais@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",IPO
2014-01-06 14:22:00,Axel Calzas,Axel.Calzas@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Meeting
2014-01-06 14:23:00,Dante Coginian,Dante.Coginian@gastech.com.kronos,"Valeria.Morlun@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos",New refueling policies - Effective February 1
2014-01-06 14:26:00,Benito Hawelon,Benito.Hawelon@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos",Route suggestion for next shift
2014-01-06 14:28:00,Nils Calixto,Nils.Calixto@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 14:30:00,Axel Calzas,Axel.Calzas@gastech.com.kronos,"Felix.Balas@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Vira.Frente@gastech.com.kronos",Wellhead flow rate data
2014-01-06 14:33:00,Albina Hafon,Albina.Hafon@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos",Route suggestion for next shift
2014-01-06 14:38:00,Anda Ribera,Anda.Ribera@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Craft night
2014-01-06 14:43:00,Vira Frente,Vira.Frente@gastech.com.kronos,"Isande.Borrasca@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos",Wellhead flow rate data
2014-01-06 14:53:00,Ruscella Mies Haber,Ruscella.Mies.Haber@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Craft night
2014-01-06 14:57:00,Willem Vasco-Pais,Willem.Vasco-Pais@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",IPO
2014-01-06 15:04:00,Kanon Herrero,Kanon.Herrero@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Concert tickets
2014-01-06 15:05:00,Kanon Herrero,Kanon.Herrero@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,Late for meeting
2014-01-06 15:11:00,Sven Flecha,Sven.Flecha@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-06 15:14:00,Claudio Hawelon,Claudio.Hawelon@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,Are you buying coffee?
2014-01-06 15:17:00,Ingrid Barranco,Ingrid.Barranco@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Supplies
2014-01-06 15:27:00,Cecilia Morluniau,Cecilia.Morluniau@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Supplies
2014-01-06 15:30:00,Ruscella Mies Haber,Ruscella.Mies.Haber@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Craft night
2014-01-06 15:42:00,Mat Bramar,Mat.Bramar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",All staff announcement
